DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_WAT_VOL,WELL_TYPE,oil_roll_30,oil_lag_1,water_lag_1,oil_lag_3,water_lag_3,oil_lag_7,water_lag_7,oil_lag_14,water_lag_14,oil_lag_30,gas_lag_30,water_lag_30,oil_roll_mean_3,oil_roll_mean_7,water_roll_mean_7,oil_roll_mean_14,water_roll_mean_30,oil_roll_std_7,water_roll_std_7,oil_roll_std_14,water_roll_std_14,oil_roll_std_30,water_roll_std_30,oil_delta_1d,water_delta_1d,oil_delta_3d,water_delta_3d,oil_delta_7d,water_delta_7d,oil_pct_change_1d,water_pct_change_1d,oil_pct_change_7d,water_pct_change_7d,oil_pct_change_14d,water_pct_change_14d,oil_expanding_mean,oil_expanding_std,water_cumulative,oil_acceleration,oil_trend_strength,water_trend_strength,oil_vs_trend,water_vs_trend,oil_volatility_index,oil_momentum_30d,oil_roc_30d,oil_zscore_30
2014-06-06,24.0,220.7497945833333,107.986805625,157.67422541666667,47.202699375,63.07556916666667,56.53423395833333,690.38,92.18,OP,723.333,677.29,90.57,715.1,80.7,704.08,77.96,742.89,93.31,925.31,135000.24,0.0,691.4899999999999,669.9342857142857,78.35142857142857,694.8050000000001,41.765,94.05355404540406,15.189943415048702,70.58869900290598,13.410157950737798,131.01478400783952,43.45816757883775,13.090000000000032,1.6100000000000136,-24.720000000000027,11.480000000000004,-13.700000000000044,14.220000000000011,0.0193270238745588,0.0177763056199626,-0.0194580161345302,0.1824012314007184,-0.0706834120798503,-0.0121101703997427,656.0332786885245,440.7763673894859,1252.95,42.60000000000002,-53.39871428571428,36.58642857142857,0.9544428361487725,2.2071112175266374,0.1015949784513726,-234.92999999999995,-0.2538932898163858,-0.2515212328864212
2014-06-07,24.0,220.64014083333333,107.99410875,157.27830479166667,47.19410729166667,63.36183604166666,56.61542145833333,694.3,92.07,OP,716.0143333333332,690.38,92.18,706.8,79.73,715.93,78.99,746.54,100.42,913.86,127564.51,0.0,687.3233333333333,666.8442857142857,80.22,691.0735714285714,44.834,92.63519109157028,16.061116607093886,69.00655070433295,12.73648167213439,126.04279871599596,43.65755159230167,3.919999999999959,-0.1100000000000136,-12.5,12.33999999999999,-21.629999999999995,13.079999999999998,0.0056780323879601,-0.0011933174224345,-0.0302124509379408,0.1655905810862135,-0.069976156669435,-0.083150766779526,656.6504838709677,437.1755300113968,1345.02,-9.170000000000073,-49.17004761904752,35.386,0.9696733259064182,2.0535754115180445,0.0998541306704642,-219.5600000000001,-0.2402556190226074,-0.1722774609461086
2014-06-08,24.0,220.50405041666667,108.0027125,157.18459354166666,47.152024375,63.319456875,52.051159375,690.7,91.25,OP,733.1443333333333,694.3,92.07,677.29,90.57,724.21,80.08,750.57,101.01,176.8,24322.7,0.0,691.7933333333334,662.0571428571428,81.8157142857143,686.7971428571428,47.87566666666667,90.00511517210104,16.591031570442777,66.8575047773601,11.867210921482137,74.69534383694672,43.60491823599507,-3.599999999999909,-0.8199999999999932,13.410000000000082,0.6800000000000068,-33.50999999999999,11.170000000000002,-0.0051850784963271,-0.008906266970783,-0.0462711092086549,0.1394855144855145,-0.0797660444728672,-0.0966240966240966,657.1909523809524,433.65680747201503,1436.27,-7.519999999999868,-71.08719047619047,33.940047619047625,0.9421064428877808,1.9059786808886907,0.0973468009771071,513.9000000000001,2.9066742081447967,-0.568232652171539
2014-06-09,19.5,221.45051448717948,107.75725956410255,159.1132395,38.978911458333336,62.33727498717949,53.55922412820513,238.45,28.15,OP,709.6196666666667,690.7,91.25,690.38,92.18,459.83,46.21,727.26,86.62,944.19,52162.58,0.0,541.15,630.4314285714285,79.23571428571428,651.8821428571429,48.814,173.27791650299636,23.15606893605711,135.9921247255238,18.420386639700148,109.1317377106554,42.83524423842494,-452.25000000000006,-63.1,-451.93,-64.03,-221.38,-18.06,-0.6547705226581729,-0.6915068493150685,-0.4814387925972642,-0.390824496862151,-0.6721255121964634,-0.6750173170168552,650.648125,433.37388617526415,1464.42,-448.65000000000015,-79.18823809523826,30.42171428571428,0.3360250725858311,0.5766788216495268,0.208614588105577,-705.74,-0.7474554909499147,-4.3174394227634725
2014-06-10,24.0,220.85169229166667,107.99075354166666,158.07450145833334,46.512532291666666,62.777190833333336,54.48615333333333,647.11,84.88,OP,703.743,238.45,28.15,694.3,92.07,715.1,80.7,715.5,91.08,823.41,117731.72,0.0,525.4200000000001,620.7185714285714,79.83285714285715,646.9971428571429,51.64333333333333,169.6076102290796,23.25381310257577,134.75379551831998,18.137556385807635,107.5279452418356,42.29970337658559,408.66,56.73,-47.18999999999994,-7.189999999999998,-67.99000000000001,4.179999999999993,1.7138184105682537,2.0152753108348134,-0.0950776115228639,0.0517967781908301,-0.0955835080363382,-0.0680720245937637,650.5936923076922,429.97504677804136,1549.3000000000002,860.9100000000001,-83.02442857142864,28.18952380952382,0.919526020152243,1.6435809720518944,0.2082757196163904,-176.29999999999995,-0.2141096173230832,-0.526681690723557
2014-06-11,24.0,218.41471229166663,108.06527416666668,156.68516375,47.815207916666665,61.72954854166667,54.295347291666666,745.92,94.23,OP,702.9733333333332,647.11,84.88,690.7,91.25,706.8,79.73,695.01,76.96,769.01,111238.01,0.0,543.8266666666667,626.3071428571428,81.90428571428572,650.6335714285715,54.78433333333333,173.51618999527545,23.880502407572912,136.82020119665916,18.71856839470509,107.12655385211478,41.8285895203791,98.80999999999996,9.350000000000009,55.21999999999992,2.980000000000004,39.120000000000005,14.5,0.1526942869063992,0.1101555136663525,0.0553480475382004,0.1818637902922362,0.073250744593603,0.224402286902287,652.0380303030304,426.81604821756713,1643.5300000000002,-309.8500000000001,-76.66619047619042,27.11995238095239,1.0610928816645488,1.7200172798792843,0.2102876445435304,-23.090000000000032,-0.0300256173521801,0.4008965575981599
2014-06-12,24.0,215.4968589583333,108.13936083333331,155.55921520833334,48.72777375,59.93764375,61.561027083333336,804.85,101.88,OP,705.1083333333333,745.92,94.23,238.45,28.15,677.29,90.57,698.77,77.13,740.8,107144.4,0.0,732.6266666666667,644.53,83.52,658.2107142857143,58.18033333333334,186.01120109642235,24.92432279253876,142.51013046119112,19.75467695353334,108.53540808174736,41.36048017824156,58.930000000000064,7.649999999999991,566.4000000000001,73.72999999999999,127.56000000000006,11.310000000000002,0.0790031102531103,0.0811843361986628,0.1883388208891316,0.1248757866843326,0.1518096083117479,0.3208868144690782,654.3188059701492,423.9814712272309,1745.4100000000003,-39.87999999999988,-60.578333333333376,25.33966666666666,1.141455804663586,1.7511071897147372,0.2165114109633449,64.05000000000007,0.0864605831533478,0.9189781328462197
2014-06-13,24.0,214.823228125,108.13519916666668,154.68515791666667,48.263916875,60.13807020833333,62.32717875,818.89,56.75,OP,708.63,804.85,101.88,647.11,84.88,690.38,92.18,704.08,77.96,713.24,102880.55,0.0,789.8866666666667,662.8885714285715,78.45857142857143,666.4114285714286,60.072,197.2903649808729,26.42486860804385,148.5289669161763,20.70690808178981,110.50451527676093,39.879012231394654,14.039999999999964,-45.13,171.77999999999997,-28.129999999999995,128.51,-35.43000000000001,0.0174442442691185,-0.4429721240675304,0.186143862800197,-0.3843566934259058,0.1630638563799566,-0.2720625962031811,656.7389705882352,421.27851589258125,1802.1600000000003,-44.8900000000001,-45.741428571428514,18.38657142857143,1.1555960092008524,0.9446996937008922,0.2228787811076027,105.64999999999998,0.1481268577197016,0.9977872824820913
2014-06-14,24.0,215.83254083333333,108.104783125,155.59778541666665,48.00591375,60.234755416666665,59.584406875,781.21,54.32,OP,709.876,818.89,56.75,745.92,94.23,694.3,92.07,715.93,78.99,743.83,106745.44,0.0,801.65,675.3042857142857,73.06571428571428,671.0742857142857,61.882666666666665,202.2684526281144,27.02918598918762,151.20371737973352,21.680124690448768,111.12410426620174,38.25766445034776,-37.67999999999995,-2.43,35.29000000000008,-39.91,86.91000000000008,-37.74999999999999,-0.0460135060875086,-0.0428193832599118,0.1251764366988335,-0.410014119691539,0.0911820988085427,-0.3123180149385998,658.5428985507247,418.4377965793491,1856.48,-51.71999999999992,-34.57171428571428,11.183047619047612,1.1004879725473182,0.8777902266655175,0.225315915985059,37.38,0.0502534181197316,0.6419309336263979
2014-06-15,24.0,214.877320625,108.11380416666668,154.95770833333333,48.04032458333333,59.91961229166667,60.77416125,786.16,54.55,OP,711.545,781.21,54.32,804.85,101.88,690.7,91.25,724.21,80.08,736.09,104864.02,0.0,795.4200000000001,688.9414285714286,67.82285714285715,675.4992857142859,63.701,206.6499944696008,26.46762784628659,153.7631852239656,22.429523971863407,111.9046604604061,36.46960532770572,4.949999999999932,0.2299999999999968,-18.69000000000005,-47.33,95.45999999999992,-36.7,0.0063363244198102,0.0042341678939616,0.1382076154625739,-0.4021917808219178,0.0855414865853825,-0.3188061938061938,660.366,415.6745235746178,1911.03,42.62999999999988,-22.6035714285714,4.121857142857145,1.1048633607150635,0.8563444843880001,0.227628938291731,50.069999999999936,0.0680215734488988,0.6667729448712294
